age,gender,education,country,ethnicity,extraversion,openness
1.82213,0.48246,-1.22751,0.24923,-0.31685,-1.63340,-3.27393
0.49788,-0.48246,0.45468,0.96082,-0.31685,-1.23177,-0.01928
0.49788,0.48246,1.16365,0.96082,-0.31685,-1.50796,-0.71727
1.09449,-0.48246,1.98437,0.96082,-0.31685,1.74091,0.88309
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-0.80615,-1.27553
0.49788,0.48246,-1.73790,-0.28519,-0.31685,-0.80615,0.14143
0.49788,-0.48246,0.45468,0.96082,-0.31685,-1.23177,-0.01928
-0.95197,-0.48246,0.45468,0.96082,-0.31685,-0.30033,0.29338
0.49788,-0.48246,0.45468,-0.57009,0.11440,0.63779,0.88309
2.59171,-0.48246,-2.43591,0.96082,-0.31685,-0.80615,-2.63199
0.49788,-0.48246,0.45468,0.96082,-0.31685,-0.57545,-0.17779
1.82213,-0.48246,-2.43591,-0.57009,-0.31685,0.32197,1.06238
1.09449,-0.48246,0.45468,0.96082,-0.31685,1.28610,0.29338
2.59171,0.48246,-0.05921,0.96082,-0.31685,-0.94779,-1.11902
0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.43999,-0.01928
0.49788,0.48246,0.45468,0.96082,-0.31685,0.00332,1.06238
0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.94779,-1.27553
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.57545,-0.31776
-0.07854,-0.48246,0.45468,0.96082,0.11440,1.45421,0.44585
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.47617,1.24033
1.09449,0.48246,-0.61113,0.24923,-0.31685,0.63779,-1.11902
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.80523,0.29338
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-0.80615,-0.31776
-0.07854,0.48246,1.16365,0.96082,-0.22166,-0.57545,-1.97495
0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.15487,-0.17779
1.09449,-0.48246,-0.05921,0.24923,-0.31685,0.96248,-0.58331
1.82213,0.48246,0.45468,0.96082,-0.31685,0.00332,-1.42424
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.15487,1.06238
1.82213,-0.48246,-1.73790,0.96082,-0.31685,1.11406,-0.58331
1.82213,0.48246,-0.05921,0.96082,-0.31685,-0.69509,-1.11902
0.49788,0.48246,-0.61113,0.96082,-0.31685,0.00332,-1.68062
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.63779,-1.97495
1.09449,-0.48246,-1.22751,0.96082,-0.31685,0.63779,-0.01928
1.09449,-0.48246,0.45468,0.96082,-0.31685,-1.23177,-1.27553
-0.07854,0.48246,1.98437,0.96082,-0.31685,0.32197,0.29338
1.09449,-0.48246,1.16365,0.96082,-0.50212,1.58487,1.24033
-0.07854,-0.48246,0.45468,0.96082,-0.31685,-1.37639,-1.82919
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.30033,-0.71727
1.09449,-0.48246,1.98437,0.96082,-0.31685,0.47617,1.06238
0.49788,-0.48246,-0.61113,0.96082,-0.31685,0.47617,-0.84732
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-0.69509,-1.11902
-0.07854,-0.48246,1.16365,0.96082,-0.31685,-0.30033,1.06238
0.49788,-0.48246,-0.05921,-0.28519,-0.31685,0.00332,0.29338
1.09449,0.48246,-1.73790,0.96082,-0.31685,-0.69509,-1.68062
-0.07854,-0.48246,-0.61113,0.96082,-0.31685,-0.30033,0.14143
1.09449,0.48246,-1.22751,0.24923,-0.31685,1.11406,-0.31776
1.09449,-0.48246,-1.22751,0.96082,-0.31685,0.96248,-0.01928
1.09449,-0.48246,-0.05921,0.96082,-0.31685,-0.57545,-0.31776
2.59171,0.48246,-1.73790,0.96082,-0.31685,-1.76250,-2.85950
-0.07854,-0.48246,0.45468,0.96082,-0.31685,0.16767,-1.55521
1.09449,0.48246,-1.43719,0.24923,-0.31685,-0.69509,-1.55521
0.49788,-0.48246,0.45468,0.96082,-0.31685,-1.63340,-0.58331
0.49788,-0.48246,-0.61113,0.96082,-0.31685,-0.80615,-2.09015
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.80615,-1.97495
2.59171,0.48246,1.98437,0.24923,-0.31685,0.32197,0.44585
1.82213,0.48246,0.45468,0.96082,-0.31685,-1.23177,-0.01928
1.82213,-0.48246,1.16365,0.24923,-0.31685,1.45421,-0.97631
1.82213,0.48246,-1.43719,0.96082,-0.22166,-0.94779,-1.11902
1.09449,-0.48246,-1.73790,0.96082,-0.31685,0.16767,-0.31776
-0.07854,0.48246,-1.22751,0.96082,-0.31685,0.00332,-1.55521
0.49788,-0.48246,-0.61113,0.96082,-0.31685,-0.15487,-1.11902
1.82213,-0.48246,-1.73790,0.96082,-0.31685,0.16767,-0.45174
0.49788,0.48246,-0.61113,0.96082,-0.31685,-1.92173,-1.42424
0.49788,0.48246,1.16365,0.96082,-0.31685,-0.57545,0.29338
0.49788,0.48246,1.16365,0.96082,-0.31685,0.32197,0.72330
0.49788,-0.48246,-0.05921,0.24923,-0.31685,-0.43999,0.72330
-0.07854,-0.48246,-1.22751,0.96082,-0.31685,-0.30033,-0.45174
2.59171,0.48246,-1.73790,0.96082,-0.31685,-0.80615,-0.97631
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.57545,-0.97631
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.32197,1.06238
0.49788,0.48246,0.45468,0.24923,-0.31685,-1.09207,0.29338
1.09449,0.48246,1.16365,0.96082,-0.31685,0.63779,-0.31776
0.49788,-0.48246,1.98437,0.24923,-0.31685,-0.43999,-0.01928
-0.07854,0.48246,0.45468,0.96082,-0.31685,3.00537,0.72330
-0.07854,-0.48246,1.16365,-0.28519,-0.31685,2.57309,0.58331
1.09449,0.48246,-1.73790,-0.09765,-0.31685,0.47617,-1.68062
1.09449,-0.48246,-1.22751,0.96082,-0.31685,1.28610,1.43533
1.09449,0.48246,-0.05921,0.24923,-0.31685,0.63779,-0.31776
-0.07854,0.48246,-0.61113,0.24923,-0.31685,0.16767,-0.17779
0.49788,-0.48246,-0.05921,0.96082,-0.31685,0.47617,-1.82919
-0.07854,0.48246,-0.61113,0.96082,-0.31685,-0.30033,-1.82919
0.49788,0.48246,-1.73790,0.96082,-0.31685,0.00332,-1.27553
-0.07854,0.48246,0.45468,0.96082,-0.31685,2.12700,0.14143
1.09449,0.48246,-0.61113,0.96082,-0.31685,0.47617,-1.42424
1.09449,-0.48246,1.16365,0.96082,-0.50212,0.32197,0.14143
-0.07854,-0.48246,1.16365,0.96082,-0.31685,-1.09207,-0.84732
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.32197,0.88309
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.63779,0.29338
0.49788,-0.48246,-0.61113,0.96082,-0.31685,1.93886,1.43533
-0.07854,0.48246,-0.05921,0.24923,-0.31685,-0.57545,-0.84732
0.49788,-0.48246,-0.05921,0.24923,-0.31685,-0.57545,0.14143
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.80523,1.43533
0.49788,0.48246,-0.61113,-0.57009,-0.31685,-1.92173,-2.39883
0.49788,0.48246,0.45468,0.96082,-0.31685,0.63779,-0.97631
-0.07854,0.48246,1.16365,0.96082,-0.31685,0.63779,-0.97631
0.49788,0.48246,-0.05921,0.96082,-0.31685,-1.23177,-1.55521
1.82213,-0.48246,1.16365,0.96082,-0.31685,0.16767,-0.17779
-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.69509,-0.45174
1.09449,-0.48246,-1.73790,0.96082,-0.31685,1.93886,0.29338
1.82213,-0.48246,0.45468,0.96082,-0.31685,1.28610,0.44585
1.09449,-0.48246,0.45468,0.96082,-0.31685,0.63779,-1.11902
1.09449,0.48246,-1.43719,0.96082,-0.31685,-0.80615,-0.84732
0.49788,-0.48246,1.98437,0.96082,-0.50212,0.63779,0.14143
1.09449,0.48246,1.16365,0.96082,-0.31685,0.96248,-1.11902
1.09449,0.48246,-1.73790,0.96082,-0.31685,0.32197,-1.42424
1.09449,0.48246,-1.73790,0.96082,0.11440,-0.15487,-1.27553
0.49788,0.48246,-1.22751,0.21128,-0.31685,-0.57545,-0.58331
0.49788,-0.48246,1.16365,0.96082,-0.31685,0.16767,0.29338
-0.07854,0.48246,1.16365,0.96082,0.12600,-1.50796,-0.31776
0.49788,0.48246,-1.73790,0.96082,-0.31685,1.58487,-0.58331
1.09449,0.48246,0.45468,0.96082,-0.31685,-0.30033,-1.68062
1.09449,0.48246,0.45468,0.96082,-0.31685,1.58487,0.29338
1.82213,-0.48246,0.45468,0.96082,-0.31685,-0.80615,0.14143
1.09449,-0.48246,-1.73790,0.96082,-0.31685,0.32197,-0.58331
-0.07854,0.48246,0.45468,0.96082,-0.50212,0.32197,1.43533
0.49788,0.48246,-1.73790,0.96082,-0.31685,0.63779,-1.11902
0.49788,-0.48246,-1.43719,0.96082,-0.31685,-0.30033,-1.27553
0.49788,-0.48246,-0.05921,0.96082,-1.10702,1.28610,-0.58331
1.09449,-0.48246,-0.05921,0.24923,-0.31685,-1.09207,-0.45174
1.09449,0.48246,0.45468,0.96082,-0.31685,0.16767,-1.11902
1.82213,-0.48246,-0.05921,0.96082,-0.31685,-1.23177,-0.17779
0.49788,-0.48246,1.16365,0.96082,-1.10702,0.47617,-0.71727
0.49788,0.48246,-0.05921,0.96082,-0.31685,-1.09207,-2.63199
1.09449,0.48246,0.45468,0.96082,-0.31685,1.93886,-0.71727
0.49788,0.48246,-0.61113,0.96082,-0.31685,1.28610,0.14143
0.49788,0.48246,0.45468,0.96082,-0.31685,-1.63340,-1.82919
-0.07854,0.48246,0.45468,0.96082,-0.31685,-1.50796,-0.71727
-0.07854,-0.48246,0.45468,0.96082,-0.31685,0.96248,-1.68062
-0.95197,0.48246,-0.61113,0.96082,-0.31685,-1.37639,0.72330
0.49788,0.48246,0.45468,0.96082,-1.10702,-1.37639,-1.27553
0.49788,0.48246,-0.61113,0.96082,-0.31685,0.00332,-0.31776
-0.07854,-0.48246,-1.73790,0.96082,-0.31685,1.11406,-1.82919
0.49788,0.48246,0.45468,-0.09765,-0.31685,0.16767,-0.31776
1.09449,0.48246,-0.61113,0.96082,-1.10702,-0.57545,-0.58331
1.09449,-0.48246,1.16365,-0.28519,-0.31685,0.80523,0.44585
0.49788,-0.48246,0.45468,0.96082,-1.10702,0.32197,-0.84732
-0.07854,0.48246,0.45468,-0.46841,-0.31685,0.00332,-0.17779
-0.07854,0.48246,-0.61113,0.96082,-0.31685,0.00332,-0.31776
-0.07854,0.48246,1.98437,0.96082,-0.31685,0.32197,-1.55521
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.30033,-0.31776
-0.95197,-0.48246,-0.61113,0.96082,-0.31685,-1.23177,0.72330
-0.07854,0.48246,-0.05921,0.96082,-1.10702,0.00332,-0.97631
-0.07854,0.48246,0.45468,0.96082,-0.31685,1.28610,-1.27553
-0.95197,0.48246,-1.22751,0.96082,-0.31685,0.00332,-1.42424
1.09449,-0.48246,-1.73790,0.96082,-0.31685,-0.30033,-0.31776
0.49788,-0.48246,1.16365,0.96082,-0.31685,0.96248,2.15324
1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.57545,-0.45174
0.49788,0.48246,0.45468,0.96082,-0.31685,0.63779,1.24033
0.49788,0.48246,-0.05921,0.96082,-0.31685,-0.57545,-2.21069
1.82213,0.48246,0.45468,0.96082,-0.31685,0.00332,0.44585
0.49788,0.48246,0.45468,0.96082,0.11440,-0.57545,-0.84732
0.49788,0.48246,0.45468,0.96082,-0.31685,0.00332,-1.27553
1.09449,0.48246,0.45468,0.96082,-0.31685,-0.94779,-0.45174
0.49788,0.48246,-0.05921,0.96082,-0.31685,-0.15487,-0.97631
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.63779,-1.55521
-0.07854,-0.48246,1.98437,0.96082,-0.31685,-0.43999,-0.31776
0.49788,0.48246,-0.61113,0.96082,-0.31685,0.80523,-0.31776
-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.43999,0.29338
1.82213,-0.48246,-1.22751,0.96082,-0.31685,-0.80615,-0.97631
0.49788,0.48246,0.45468,0.24923,-0.31685,0.63779,-0.01928
0.49788,0.48246,1.16365,0.96082,-0.31685,1.45421,0.14143
1.82213,0.48246,-1.73790,0.96082,-0.31685,-0.80615,-1.97495
1.09449,0.48246,-1.73790,0.96082,-0.31685,-1.37639,-2.09015
-0.95197,0.48246,1.16365,0.96082,-0.31685,0.00332,-0.45174
1.82213,0.48246,-0.05921,0.96082,-0.31685,0.00332,-0.84732
-0.95197,-0.48246,0.45468,0.96082,0.12600,1.28610,-1.11902
-0.07854,0.48246,-0.05921,0.24923,-0.31685,-0.30033,-0.17779
1.09449,0.48246,0.45468,0.96082,-0.31685,-1.09207,-0.45174
-0.07854,0.48246,0.45468,0.24923,0.12600,1.28610,-0.01928
1.82213,0.48246,0.45468,0.96082,-0.31685,0.32197,0.72330
-0.95197,-0.48246,0.45468,0.96082,-1.10702,0.32197,-0.58331
1.82213,0.48246,0.45468,0.96082,-0.31685,0.47617,-0.71727
-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.47617,0.58331
1.09449,0.48246,-0.05921,0.96082,-0.31685,2.32338,0.72330
-0.95197,0.48246,0.45468,0.96082,-0.31685,0.16767,-0.84732
0.49788,-0.48246,1.16365,0.96082,0.11440,-0.94779,-0.58331
0.49788,0.48246,0.45468,0.96082,-0.31685,1.28610,-0.45174
2.59171,-0.48246,-2.43591,0.96082,-0.31685,-1.09207,-2.39883
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.96248,1.24033
0.49788,0.48246,-1.73790,0.96082,-0.31685,1.11406,0.29338
-0.95197,0.48246,0.45468,0.96082,-0.31685,1.28610,0.58331
0.49788,0.48246,-0.05921,0.96082,-0.31685,0.47617,-0.58331
0.49788,0.48246,0.45468,0.96082,-0.31685,0.00332,-0.17779
-0.07854,-0.48246,1.16365,0.96082,-0.50212,0.47617,1.06238
-0.07854,0.48246,-0.61113,0.96082,-0.31685,0.16767,-1.42424
1.09449,0.48246,-1.73790,0.96082,-0.31685,-0.57545,-1.11902
-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.63779,-0.84732
1.09449,0.48246,-0.05921,0.21128,-0.31685,-0.15487,-1.27553
-0.07854,0.48246,-0.05921,0.96082,-0.31685,1.11406,0.44585
-0.07854,0.48246,0.45468,0.24923,-0.31685,-0.30033,-0.71727
-0.07854,0.48246,-0.05921,0.96082,-0.31685,1.11406,0.29338
0.49788,-0.48246,-0.05921,0.96082,-0.31685,0.80523,0.44585
-0.07854,0.48246,1.16365,-0.28519,-0.31685,1.11406,-0.84732
0.49788,0.48246,-0.61113,0.96082,-0.31685,-0.57545,0.14143
-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.30033,0.29338
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.47617,-0.45174
0.49788,0.48246,0.45468,0.96082,-0.31685,0.63779,0.72330
1.82213,-0.48246,0.45468,0.96082,-0.31685,1.11406,-0.31776
1.09449,0.48246,0.45468,0.96082,-0.31685,1.45421,0.29338
0.49788,0.48246,0.45468,0.96082,-0.31685,0.63779,0.88309
1.09449,0.48246,0.45468,0.96082,-0.31685,0.47617,-0.71727
-0.95197,-0.48246,-0.61113,0.96082,-0.31685,0.96248,-0.97631
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.32197,-0.01928
1.09449,0.48246,0.45468,0.96082,-0.31685,1.45421,0.14143
0.49788,0.48246,-0.05921,0.96082,-0.31685,-2.21069,-1.82919
2.59171,0.48246,1.16365,0.96082,-0.31685,-1.09207,-0.45174
-0.07854,0.48246,0.45468,0.96082,-0.31685,1.28610,-0.01928
1.09449,-0.48246,0.45468,0.96082,-0.31685,0.80523,-1.42424
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.96248,-0.01928
-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.96248,-1.27553
-0.07854,0.48246,1.16365,0.96082,-0.31685,0.32197,-0.17779
-0.07854,0.48246,-1.73790,0.96082,-0.31685,-0.15487,-2.21069
-0.95197,0.48246,-1.22751,0.96082,-0.31685,-0.15487,-0.71727
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.63779,0.72330
0.49788,0.48246,1.16365,0.96082,-0.31685,-1.23177,-0.01928
-0.07854,0.48246,-1.22751,-0.28519,-0.31685,-1.23177,-0.84732
-0.95197,0.48246,-0.61113,0.96082,-0.31685,-1.50796,-3.27393
-0.07854,0.48246,0.45468,0.96082,-0.31685,1.11406,0.72330
0.49788,-0.48246,0.45468,0.96082,-0.31685,-1.50796,-0.17779
-0.07854,0.48246,-0.61113,0.96082,-0.31685,-0.94779,-1.68062
-0.07854,0.48246,-0.05921,0.96082,-0.31685,-0.69509,-1.27553
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.30033,-1.11902
1.09449,0.48246,1.98437,0.96082,-0.31685,0.16767,-0.31776
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.32197,-0.17779
1.09449,-0.48246,0.45468,0.96082,-0.31685,0.16767,-0.31776
0.49788,0.48246,0.45468,0.96082,-0.31685,-0.94779,-0.71727
-0.95197,0.48246,1.16365,0.96082,-0.31685,0.96248,-0.58331
1.09449,0.48246,1.98437,0.96082,-0.31685,0.16767,0.29338
-0.07854,-0.48246,-0.05921,0.96082,-0.31685,-0.69509,-0.71727
0.49788,0.48246,1.16365,0.96082,-0.31685,1.74091,1.06238
-0.95197,0.48246,-0.61113,0.96082,-0.31685,0.63779,-0.31776
0.49788,-0.48246,1.98437,0.96082,-0.31685,0.00332,0.88309
2.59171,-0.48246,1.98437,0.96082,-0.31685,-0.15487,-0.45174
2.59171,-0.48246,-0.05921,0.96082,-0.31685,-0.30033,0.29338
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.96248,2.15324
1.82213,-0.48246,0.45468,0.96082,-0.31685,-0.43999,0.72330
1.09449,-0.48246,1.16365,0.96082,-0.50212,0.80523,-0.31776
1.82213,0.48246,-2.43591,0.96082,-0.31685,0.00332,-0.01928
-0.95197,0.48246,0.45468,0.96082,-0.31685,0.16767,-0.01928
0.49788,0.48246,0.45468,0.96082,-1.10702,0.00332,-0.45174
1.82213,-0.48246,0.45468,0.96082,-0.31685,-0.15487,-0.17779
0.49788,-0.48246,-0.05921,0.96082,-1.10702,1.45421,-1.27553
1.09449,0.48246,1.16365,0.96082,-0.31685,1.74091,0.58331
0.49788,0.48246,1.16365,0.96082,-1.10702,0.16767,-0.84732
1.09449,0.48246,1.16365,0.96082,-0.31685,2.12700,1.65653
1.09449,0.48246,1.16365,0.96082,-0.31685,-0.69509,0.44585
1.82213,-0.48246,1.98437,0.96082,-0.31685,0.00332,-0.01928
-0.07854,0.48246,0.45468,0.96082,-0.31685,0.16767,-1.11902
0.49788,-0.48246,1.16365,0.96082,-0.31685,0.96248,0.14143
0.49788,0.48246,1.16365,0.96082,-0.31685,-0.43999,0.14143
1.82213,-0.48246,1.98437,0.96082,-0.31685,0.47617,-0.58331
-0.07854,-0.48246,-0.61113,0.96082,-0.31685,1.45421,1.06238
1.09449,0.48246,0.45468,0.96082,-0.31685,-0.43999,-0.31776
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.80523,0.29338
1.82213,-0.48246,1.16365,0.96082,-0.31685,0.16767,0.72330
1.09449,0.48246,-0.61113,0.96082,-0.31685,-0.30033,-2.21069
1.09449,0.48246,1.16365,0.96082,-0.31685,0.00332,0.14143
1.09449,-0.48246,0.45468,0.96082,-0.31685,1.58487,0.14143
0.49788,-0.48246,-0.05921,-0.28519,-0.31685,-0.80615,0.72330
0.49788,-0.48246,0.45468,0.96082,-0.31685,1.28610,-0.71727
1.09449,0.48246,0.45468,0.96082,-0.31685,-1.37639,-0.17779
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.32197,-0.45174
-0.07854,-0.48246,-0.61113,0.96082,-0.31685,0.32197,-0.71727
-0.07854,0.48246,1.16365,0.96082,-0.31685,0.63779,-0.71727
0.49788,0.48246,-0.05921,0.96082,-1.10702,0.96248,-0.84732
0.49788,0.48246,-0.61113,0.96082,-0.31685,-1.09207,0.44585
1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.15487,-0.58331
-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.00332,-0.17779
-0.95197,0.48246,-1.43719,0.96082,-0.31685,0.47617,-0.17779
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.43999,0.14143
2.59171,0.48246,-1.73790,0.96082,-0.31685,-0.80615,0.14143
0.49788,0.48246,0.45468,0.96082,-0.31685,-0.30033,-1.42424
0.49788,0.48246,-0.05921,-0.57009,-0.31685,-0.94779,-0.17779
-0.07854,0.48246,-0.61113,-0.57009,-0.31685,-0.43999,-1.55521
0.49788,0.48246,1.98437,0.96082,-0.31685,-0.43999,-0.71727
1.82213,0.48246,-0.05921,0.96082,-0.31685,0.63779,-0.01928
1.09449,0.48246,0.45468,0.96082,-0.31685,0.00332,-1.27553
1.09449,0.48246,0.45468,0.96082,-0.31685,-2.32338,-1.27553
0.49788,-0.48246,1.16365,0.96082,-0.31685,-1.23177,-0.84732
1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.57545,-0.71727
0.49788,0.48246,-1.22751,0.96082,-0.31685,0.80523,-0.17779
0.49788,-0.48246,1.16365,0.96082,-0.31685,0.16767,-0.17779
1.09449,0.48246,0.45468,0.96082,-0.31685,-0.15487,-0.84732
-0.95197,0.48246,-1.73790,0.96082,-0.31685,-0.57545,-1.97495
1.09449,0.48246,1.16365,0.96082,-0.31685,0.00332,-0.45174
-0.07854,0.48246,1.16365,0.96082,-0.31685,1.74091,0.29338
-0.95197,0.48246,-1.22751,0.21128,-0.31685,0.16767,-0.71727
1.09449,0.48246,1.98437,0.96082,-0.31685,0.80523,0.58331
1.82213,0.48246,0.45468,0.96082,-0.31685,0.80523,1.06238
0.49788,-0.48246,0.45468,0.96082,-1.10702,1.93886,-0.97631
-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.00332,-0.71727
1.09449,0.48246,-1.73790,0.96082,0.11440,-0.30033,-1.27553
1.09449,0.48246,0.45468,0.96082,-0.31685,-0.30033,-0.58331
0.49788,0.48246,-0.61113,0.96082,-0.31685,-0.30033,-0.97631
-0.95197,0.48246,0.45468,0.96082,-0.31685,0.47617,0.44585
1.09449,-0.48246,-1.43719,0.96082,-0.31685,-1.09207,-1.68062
-0.07854,0.48246,1.98437,0.96082,-0.31685,0.00332,1.43533
0.49788,0.48246,-0.05921,0.96082,-0.31685,1.28610,-0.17779
0.49788,-0.48246,-1.22751,0.96082,-0.31685,-1.63340,-1.97495
1.09449,-0.48246,1.16365,0.96082,-0.31685,1.58487,-0.01928
-0.07854,0.48246,-0.05921,0.96082,-0.31685,-0.30033,-1.27553
1.09449,-0.48246,-0.05921,0.96082,-0.31685,0.47617,-0.97631
1.09449,0.48246,-0.05921,0.96082,-0.31685,0.47617,-0.71727
0.49788,-0.48246,-2.43591,0.96082,-0.31685,-0.43999,-0.97631
1.82213,0.48246,-1.22751,0.24923,-0.31685,-0.43999,-1.55521
-0.95197,0.48246,-0.61113,0.96082,-0.31685,-1.92173,-0.84732
2.59171,-0.48246,-0.61113,0.24923,-0.31685,-0.43999,-0.97631
2.59171,0.48246,-1.73790,0.24923,-0.31685,-0.15487,-1.42424
-0.07854,0.48246,1.16365,0.96082,-0.31685,-0.57545,0.58331
1.09449,0.48246,1.16365,0.96082,-1.10702,0.16767,-0.17779
1.09449,0.48246,-0.05921,0.24923,-0.31685,0.32197,1.06238
0.49788,-0.48246,1.98437,0.96082,-0.31685,1.28610,0.29338
1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.30033,-0.58331
0.49788,0.48246,1.16365,0.96082,-0.31685,1.11406,0.88309
1.82213,0.48246,-0.05921,0.96082,-0.31685,0.96248,-0.31776
1.82213,0.48246,-0.05921,0.96082,-0.31685,0.00332,-0.01928
-0.95197,0.48246,-2.43591,0.96082,-0.31685,-0.15487,-0.01928
0.49788,0.48246,1.16365,0.96082,-0.31685,0.16767,1.43533
0.49788,0.48246,0.45468,0.96082,-0.31685,0.47617,-0.17779
1.09449,0.48246,0.45468,0.96082,-0.31685,1.74091,1.65653
1.09449,-0.48246,1.16365,0.96082,-0.31685,0.80523,-0.01928
1.09449,-0.48246,-0.05921,0.96082,-1.10702,0.32197,-0.45174
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.69509,-0.58331
0.49788,0.48246,-0.61113,0.96082,-0.31685,-0.57545,0.88309
0.49788,-0.48246,-0.05921,0.96082,-0.31685,0.16767,-0.01928
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.69509,0.44585
-0.07854,-0.48246,-1.73790,0.96082,-0.31685,0.00332,-0.17779
0.49788,-0.48246,-0.05921,0.96082,-0.31685,-0.15487,-0.01928
-0.07854,-0.48246,-2.43591,0.96082,-0.31685,0.00332,1.24033
1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.15487,-1.27553
0.49788,-0.48246,-1.73790,0.96082,-0.31685,-1.23177,-0.97631
0.49788,-0.48246,-0.61113,0.96082,-0.31685,-0.80615,0.88309
-0.07854,0.48246,-0.61113,0.96082,-0.31685,1.58487,0.58331
1.09449,0.48246,0.45468,0.96082,-0.31685,0.80523,-0.01928
0.49788,0.48246,-0.05921,0.96082,-0.31685,0.63779,1.06238
1.09449,-0.48246,0.45468,0.96082,-0.31685,0.32197,-0.17779
1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.15487,-1.27553
0.49788,0.48246,1.98437,0.96082,-0.31685,-0.15487,0.14143
